Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID
1,1,2,0,1,1,219,120,random,,3.49,3.69,5.705,5.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A10ZXERA24IG75
,,,,,2,203,,,,3.86,3.94,6.204,6.659,,,,,,,,,,,,,
,,,,,,,,,,4.581,4.621,,,,,,,,,,,,,,,
,,,,,,,,,,4.867,4.877,,,,,,,,,,,,,,,
,,,,,,,,,,5.163,5.669,,,,,,,,,,,,,,,
,2,8,12,4,1,753,,,,NA,NA,25.163,25.345,23.585,24.194,22.406,23.227,24.694,25.163,22.267,22.313,25.346,25.419,24.455,24.694,
,,,,,4,204,,,,,,,,,,,,,,23.26,23.545,25.575,25.793,,,
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,5,919,,,,,,,,,,,,,,,,,,,,
,,,,,2,439,,,,,,,,,,,,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
,3,2,28,2,2,139,,,,45.209,45.377,40.135,45.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,168,,,,,,,,,,,,,,,,,,,,
,4,2,48,1,1,1490,,,,50.908,51.78,52.122,55.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,149,,,,55.946,58.816,,,,,,,,,,,,,,,
,5,2,61,2,1,177,,,,63.715,64.027,65.088,65.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,211,,,,,,66.065,66.465,,,,,,,,,,,,,
,6,2,69,2,2,312,,,,72.379,72.609,70.919,72.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,
,7,8,75,2,1,739,,,,78.87,79.471,79.825,80.565,83.407,83.87,81.327,81.392,82.091,82.535,81.392,82.091,NA,NA,82.535,83.407,
,,,,,2,302,,,,,,81.149,81.211,,,,,,,,,,,,,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,,,,,6,860,,,,,,,,,,,,,,,,,,,,
,,,,,5,532,,,,,,,,,,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
