Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
1,1,8,0,8,2,203,1156,random,,101.94,104.075,4.661,7.682,NA,NA,7.682,10.935,90.627,95.699,85.987,90.025,NA,NA,96.584,101.939,A3NHJPE6326P9V,22
,,,,,4,1225,,,,,,17.46,59.361,,,72.907,78.377,,,,,,,,,,19
,,,,,3,205,,,,,,62.329,67.033,,,78.593,79.254,,,,,,,,,,18
,,,,,6,298,,,,,,68.451,72.906,,,79.288,80.664,,,,,,,,,,15
,,,,,7,229,,,,,,,,,,81.415,82.053,,,,,,,,,,8
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,1
,,,,,8,403,,,,,,,,,,,,,,,,,,,,,1
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,0
,2,8,110,1,4,204,,,,158.871,159.76,NA,NA,184.084,187.822,NA,NA,187.824,204.577,178.678,184.084,162.377,171.293,NA,NA,,23
,,,,,1,753,,,,160.193,161.105,,,,,,,207.985,208.457,,,177.761,178.009,,,,22
,,,,,7,1203,,,,161.129,162.376,,,,,,,,,,,,,,,,17
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,14
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,,13
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,,7
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,5
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,3
,3,2,213,2,1,168,,,,NA,NA,280.049,280.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,81
,,,,,2,139,,,,,,281.384,282.432,,,,,,,,,,,,,,1
,4,2,287,2,2,149,,,,357.834,375.04,377.007,377.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9
,,,,,1,1490,,,,377.915,380.487,377.687,377.704,,,,,,,,,,,,,,9
,5,2,385,2,1,177,,,,399.921,409.477,422.658,436.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,77
,,,,,2,211,,,,,,436.6,437.288,,,,,,,,,,,,,,77
,6,8,443,3,6,985,,,,550.239,552.858,567.625,568.592,543.511,549.053,549.053,550.238,552.858,564.355,525.943,538.725,564.355,567.625,538.726,542.687,,18
,,,,,8,301,,,,,,,,,,,,,,,,,,,,,14
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,11
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,9
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,7
,,,,,5,30,,,,,,,,,,,,,,,,,,,,,4
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,3
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,1
,7,2,577,1,2,302,,,,701.162,709.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,11
,,,,,1,739,,,,709.144,709.663,,,,,,,,,,,,,,,,8
,,,,,,,,,,709.727,710.227,,,,,,,,,,,,,,,,0
,8,2,714,2,1,835,,,,827.508,857.859,857.859,917.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,68
,,,,,2,4415,,,,917.761,917.823,918.455,918.796,,,,,,,,,,,,,,26
,,,,,,,,,,,,919.087,919.398,,,,,,,,,,,,,,0
,,,,,,,,,,,,919.999,921.799,,,,,,,,,,,,,,0
,9,8,926,8,8,1578,,,,1072.17,1072.44,1078.36,1078.59,1070.85,1072.17,1076.28,1076.78,1073.14,1074.61,1074.61,1076.28,1068.9,1070.85,944.347,996.247,,22
,,,,,7,381,,,,,,,,,,,,,,,,,,1057.67,1068.9,,20
,,,,,3,435,,,,,,,,,,,,,,,,,,,,,17
,,,,,1,708,,,,,,,,,,,,,,,,,,,,,15
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,,15
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,11
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,9
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,,9
