Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Total Experiment Time (Seconds),How Answers/Scores Ordered,Number of Characters in Each Answer,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
1,1,8,0,2,7,764,Random Score,229,,97.876,101.795,19.68,20.477,94.377,95.297,20.478,21.129,101.795,104.696,,,19.262,19.68,59.444,80.427,A3VD8Q04OOZ7W0,9
,,,,,2,,,203,,,,37.996,38.243,,,80.427,90.661,110.794,111.173,,,21.129,21.511,105.693,106.843,,14
,,,,,8,,,403,,,,48.793,59.444,,,105.211,105.693,,,,,37.544,37.996,109.992,110.395,,25
,,,,,4,,,1225,,,,108.359,108.459,,,110.395,110.794,,,,,38.626,48.793,,,,5
,,,,,6,,,298,,,,108.66,109.444,,,,,,,,,,,,,,5
,,,,,3,,,205,,,,109.459,109.543,,,,,,,,,,,,,,1
,,,,,1,,,219,,,,,,,,,,,,,,,,,,,12
,,,,,5,,,451,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,113,2,1,,Random Score,753,,151.043,163.678,164.343,168.843,,,,,,,,,,,,,,68
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,174,2,1,,Random Score,168,,190.608,197.71,199.658,208.458,,,,,,,,,,,,,,76
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,211,2,1,,Random Score,1490,,254.026,258.175,258.294,263.976,,,,,,,,,,,,,,7
,,,,,2,,,149,,263.976,267.69,267.69,267.725,,,,,,,,,,,,,,64
,,,,,,,,,,,,268.225,268.925,,,,,,,,,,,,,,
,,,,,,,,,,,,268.944,268.958,,,,,,,,,,,,,,
,5,8,271,2,6,,Random Score,325,,,,351.191,354.726,286.259,286.538,336.109,350.193,281.726,284.443,279.626,280.078,284.443,285.56,317.122,317.878,,21
,,,,,8,,,199,,,,361.26,363.292,331.125,331.575,,,285.56,286.259,301.876,305.509,354.726,361.26,318.376,318.425,,22
,,,,,1,,,177,,,,,,,,,,332.259,336.109,316.827,316.96,,,318.925,326.859,,13
,,,,,3,,,588,,,,,,,,,,,,317.878,318.376,,,,,,19
,,,,,5,,,4414,,,,,,,,,,,,,,,,,,,5
,,,,,4,,,300,,,,,,,,,,,,,,,,,,,15
,,,,,2,,,211,,,,,,,,,,,,,,,,,,,15
,,,,,7,,,426,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,366,1,2,,Random Score,312,,413.826,419.826,394.392,395.042,,,,,,,,,,,,,,35
,,,,,1,,,1004,,419.991,421.192,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,8,424,1,6,,Random Score,860,,486.359,486.761,495.009,500.993,486.761,487.175,485.793,486.359,521.174,527.008,481.026,485.793,510.958,517.459,487.175,490.742,,12
,,,,,4,,,1012,,517.459,521.174,,,500.993,510.958,527.008,528.525,,,528.908,530.492,,,541.658,542.457,,9
,,,,,5,,,532,,532.294,532.725,,,532.725,533.325,531.924,532.294,,,531.473,531.924,,,,,,16
,,,,,1,,,739,,533.325,538.09,,,541.324,541.658,,,,,,,,,,,,25
,,,,,7,,,195,,538.724,541.324,,,,,,,,,,,,,,,,17
,,,,,3,,,734,,,,,,,,,,,,,,,,,,,14
,,,,,2,,,302,,,,,,,,,,,,,,,,,,,6
,,,,,8,,,2848,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8,545,7,4,,Random Score,1531,,600.842,602.091,583.96,596.208,602.092,602.124,560.593,566.559,582.843,583.96,573.876,580.409,571.758,573.875,580.409,582.609,,20
,,,,,7,,,108,,613.874,614.09,602.124,604.057,613.591,613.874,568.908,571.758,606.307,607.274,608.508,609.359,609.359,609.873,607.574,608.508,,15
,,,,,6,,,333,,,,604.507,604.542,,,,,611.658,611.924,610.825,610.892,609.907,610.374,610.942,611.658,,9
,,,,,8,,,1027,,,,604.873,605.692,,,,,,,,,610.458,610.825,,,,1
,,,,,5,,,542,,,,611.924,613.591,,,,,,,,,,,,,,22
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,4
,,,,,3,,,105,,,,,,,,,,,,,,,,,,,20
,,,,,1,,,835,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8,617,3,1,,Random Score,708,,654.877,655.408,679.159,680.475,682.025,682.492,663.125,663.808,664.407,679.158,655.408,657.726,657.726,663.024,680.825,682.025,,9
,,,,,6,,,1283,,,,,,683.208,689.106,,,,,,,,,693.959,694.008,,11
,,,,,7,,,381,,,,,,689.924,690.116,,,,,,,,,694.39,694.457,,15
,,,,,4,,,826,,,,,,694.024,694.373,,,,,,,,,704.777,704.842,,5
,,,,,5,,,2005,,,,,,704.873,705.874,,,,,,,,,,,,25
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,0
,,,,,8,,,1578,,,,,,,,,,,,,,,,,,,4
,,,,,3,,,435,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,708,1,1,,Random Score,1713,,720.86,725.71,725.711,727.857,,,,,,,,,,,,,,92
,,,,,2,,,421,,730.273,730.34,729.791,729.924,,,,,,,,,,,,,,84
,,,,,,,,,,732.257,732.274,732.29,732.623,,,,,,,,,,,,,,
,,,,,,,,,,750.258,757.907,743.173,750.084,,,,,,,,,,,,,,
,,,,,,,,,,758.324,759.892,760.057,760.275,,,,,,,,,,,,,,
2,1,8,0,4,8,336,Random Score,403,,71.696,72.056,71.345,71.499,57.583,59.55,44.417,50.716,51.716,56.266,50.716,51.716,56.266,56.75,4.147,4.888,A2W8TJXW68442D,7
,,,,,4,,,1225,,,,,,69.37,69.982,59.55,62.246,70.766,71.33,56.75,57.583,,,15.496,35.65,,25
,,,,,3,,,205,,,,,,,,62.488,69.37,,,69.982,70.241,,,37.192,42.896,,5
,,,,,6,,,298,,,,,,,,,,,,,,,,43.361,44.417,,17
,,,,,7,,,229,,,,,,,,,,,,,,,,,,,25
,,,,,5,,,451,,,,,,,,,,,,,,,,,,,25
,,,,,2,,,203,,,,,,,,,,,,,,,,,,,16
,,,,,1,,,219,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,73,3,1,,Random Score,753,,79.682,81.749,115.251,115.288,101.798,114.592,117.785,117.944,114.592,114.877,116.377,117.232,115.632,116.377,114.877,114.882,,13
,,,,,3,,,1347,,96.798,101.798,,,,,,,,,,,,,,,,6
,,,,,5,,,919,,,,,,,,,,,,,,,,,,,25
,,,,,8,,,330,,,,,,,,,,,,,,,,,,,17
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,21
,,,,,7,,,1203,,,,,,,,,,,,,,,,,,,1
,,,,,6,,,1265,,,,,,,,,,,,,,,,,,,22
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,118,3,3,,Random Score,280,,,,,,125.382,130.547,,,134.336,134.472,,,,,,,,11
,,,,,7,,,492,,,,,,131.04,131.056,,,,,,,,,,,,10
,,,,,4,,,171,,,,,,131.472,131.849,,,,,,,,,,,,16
,,,,,1,,,168,,,,,,132.016,132.168,,,,,,,,,,,,15
,,,,,8,,,176,,,,,,,,,,,,,,,,,,,25
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,11
,,,,,6,,,482,,,,,,,,,,,,,,,,,,,7
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,8,135,8,4,,Random Score,262,,170.328,174.733,146.93,150.296,159.179,170.328,143.33,146.93,153.451,159.179,174.736,180.128,150.296,153.451,180.244,181.544,,22
,,,,,2,,,149,,,,,,,,,,,,181.974,182.096,,,,,,10
,,,,,7,,,2010,,,,,,,,,,,,183.748,183.984,,,,,,23
,,,,,5,,,1528,,,,,,,,,,,,,,,,,,,25
,,,,,3,,,466,,,,,,,,,,,,,,,,,,,1
,,,,,1,,,1490,,,,,,,,,,,,,,,,,,,15
